cluster_id,display_name,description,scale_name,n_tiles,n_patients,n_samples,prototype_panel,card_md,card_png,disease_overlap_patient_counts,warnings,feature.handcrafted.roughness_Sa,feature.handcrafted.roughness_Sq,feature.handcrafted.roughness_Sz,feature.handcrafted.roughness_Ssk,feature.handcrafted.roughness_Sku,feature.handcrafted.grad_grad_mean,feature.texture.glcm_contrast,feature.psd.psd_low_fraction,feature.psd.psd_high_fraction,feature.topology.skeleton_length_px,feature.topology.skeleton_junctions,rank.roughness,rank.rms_roughness,rank.height_range,rank.gradient,rank.texture_contrast,rank.fine_psd,rank.skeleton_density,rank.branching
small__c001,small high-relief high-roughness motif,"small-scale motif with high-relief, high-roughness, smooth-texture, sparse or compact structure, and mixed-frequency PSD content. Height distribution: near-symmetric height distribution, compact height distribution.",small,246,16,23,artifacts/pattern_atlas/clusters/small__c001/prototype_panel.png,reports/v1/atlas_motif_catalog/cards/small__c001.md,reports/v1/atlas_motif_catalog/cards/small__c001_card.png,"{""POAG"": 5, ""healthy"": 7, ""multiple_sclerosis"": 4}",[],3.5546559773809543,4.228553720606052,17.262242198959598,-0.4948074396858673,2.4127306579574337,0.4194121727553325,0.361096712226078,0.9951102202216635,0.0004338026584919287,249.3780487804878,14.178861788617887,1.0,1.0,1.0,0.6363636363636364,0.18181818181818182,0.36363636363636365,0.2727272727272727,0.2727272727272727
small__c002,small high-relief high-roughness motif,"small-scale motif with high-relief, high-roughness, mixed-texture, sparse or compact structure, and mixed-frequency PSD content. Height distribution: near-symmetric height distribution, compact height distribution.",small,472,18,45,artifacts/pattern_atlas/clusters/small__c002/prototype_panel.png,reports/v1/atlas_motif_catalog/cards/small__c002.md,reports/v1/atlas_motif_catalog/cards/small__c002_card.png,"{""POAG"": 5, ""diabetes"": 1, ""dry_eye"": 1, ""healthy"": 3, ""multiple_sclerosis"": 8}",[],2.45797774309324,2.8908119536304877,11.331235205723068,-0.24183857019041602,2.17480241040052,0.2754150283270342,0.49521710514913814,0.9944713513195305,0.00045821155540369177,200.69703389830508,10.917372881355933,0.8181818181818182,0.8181818181818182,0.7272727272727273,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.18181818181818182,0.09090909090909091
small__c003,small high-relief high-roughness motif,"small-scale motif with high-relief, high-roughness, mixed-texture, moderate structural complexity, and mostly low-frequency PSD content. Height distribution: positive-skew peaks, moderate height tails.",small,369,22,43,artifacts/pattern_atlas/clusters/small__c003/prototype_panel.png,reports/v1/atlas_motif_catalog/cards/small__c003.md,reports/v1/atlas_motif_catalog/cards/small__c003_card.png,"{""POAG"": 4, ""diabetes"": 3, ""dry_eye"": 1, ""healthy"": 12, ""multiple_sclerosis"": 2}",[],2.9453288339340915,3.495108623814777,14.898036087754619,0.6497364513434691,2.8648218837210804,0.3675734475961707,0.42655156828921403,0.9963770300392838,0.00028890532414401816,375.2791327913279,23.899728997289973,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.5454545454545454,0.36363636363636365,0.2727272727272727,0.5454545454545454,0.36363636363636365
small__c004,small low-relief moderate-roughness motif,"small-scale motif with low-relief, moderate-roughness, smooth-texture, moderate structural complexity, and mostly low-frequency PSD content. Height distribution: near-symmetric height distribution, compact height distribution.",small,610,25,49,artifacts/pattern_atlas/clusters/small__c004/prototype_panel.png,reports/v1/atlas_motif_catalog/cards/small__c004.md,reports/v1/atlas_motif_catalog/cards/small__c004_card.png,"{""POAG"": 5, ""diabetes"": 3, ""dry_eye"": 1, ""healthy"": 10, ""multiple_sclerosis"": 6}",[],1.3277988420402418,1.5924089533872292,6.957684090000684,0.16708603361468824,2.4029831651781426,0.15433808679646643,0.39029886878093895,0.9970430831079494,0.00023241961673743918,447.62622950819673,26.824590163934428,0.36363636363636365,0.36363636363636365,0.18181818181818182,0.18181818181818182,0.2727272727272727,0.18181818181818182,0.6363636363636364,0.45454545454545453
small__c005,small moderate-relief moderate-roughness motif,"small-scale motif with moderate-relief, moderate-roughness, mixed-texture, moderate structural complexity, and mixed-frequency PSD content. Height distribution: near-symmetric height distribution, compact height distribution.",small,538,27,48,artifacts/pattern_atlas/clusters/small__c005/prototype_panel.png,reports/v1/atlas_motif_catalog/cards/small__c005.md,reports/v1/atlas_motif_catalog/cards/small__c005_card.png,"{""POAG"": 4, ""diabetes"": 4, ""dry_eye"": 1, ""healthy"": 12, ""multiple_sclerosis"": 6}",[],2.1201020618796793,2.5434721169307775,11.271824621910499,0.06624721333356763,2.4708311256422872,0.4511689252001978,0.8714051966132762,0.9893441332879349,0.0008106035171249545,341.41635687732344,30.366171003717472,0.6363636363636364,0.7272727272727273,0.6363636363636364,0.7272727272727273,0.6363636363636364,0.6363636363636364,0.36363636363636365,0.5454545454545454
small__c006,small moderate-relief low-roughness motif,"small-scale motif with moderate-relief, low-roughness, mixed-texture, dense branching/skeleton-like structure, and mixed-frequency PSD content. Height distribution: negative-skew pits, moderate height tails.",small,322,16,31,artifacts/pattern_atlas/clusters/small__c006/prototype_panel.png,reports/v1/atlas_motif_catalog/cards/small__c006.md,reports/v1/atlas_motif_catalog/cards/small__c006_card.png,"{""POAG"": 5, ""diabetes"": 2, ""healthy"": 3, ""multiple_sclerosis"": 6}",[],1.1983480569183456,1.5610108607859345,8.161762662740967,-0.9382142550326444,3.924142082285437,0.18667987495753335,0.5546766656087427,0.9922225123095559,0.000663820937474241,1309.4968944099378,137.24534161490683,0.2727272727272727,0.2727272727272727,0.36363636363636365,0.2727272727272727,0.5454545454545454,0.5454545454545454,1.0,0.9090909090909091
small__c007,small low-relief low-roughness motif,"small-scale motif with low-relief, low-roughness, high-contrast texture, dense branching/skeleton-like structure, and relatively strong fine-scale PSD content. Height distribution: positive-skew peaks, heavy-tailed height distribution.",small,114,2,2,artifacts/pattern_atlas/clusters/small__c007/prototype_panel.png,reports/v1/atlas_motif_catalog/cards/small__c007.md,reports/v1/atlas_motif_catalog/cards/small__c007_card.png,"{""multiple_sclerosis"": 2}","[{""cluster_id"": ""small__c007"", ""fraction"": 0.9824561403508771, ""patient_id"": ""19_pm_sm"", ""warning"": ""cluster_dominated_by_one_patient""}, {""cluster_id"": ""small__c007"", ""fraction"": 0.9824561403508771, ""sample_id"": ""19_pm_sm_fa154f338b55"", ""warning"": ""cluster_dominated_by_one_sample""}]",0.5332207483680624,0.7554612815902945,7.0274526921280644,1.869157730487355,12.651329923094364,0.49089169423831136,5.934618889322586,0.528032139600804,0.037432651915633004,489.7719298245614,162.44736842105263,0.18181818181818182,0.18181818181818182,0.2727272727272727,0.8181818181818182,1.0,1.0,0.7272727272727273,1.0
small__c008,small high-relief moderate-roughness motif,"small-scale motif with high-relief, moderate-roughness, high-contrast texture, dense branching/skeleton-like structure, and relatively strong fine-scale PSD content. Height distribution: near-symmetric height distribution, moderate height tails.",small,204,10,15,artifacts/pattern_atlas/clusters/small__c008/prototype_panel.png,reports/v1/atlas_motif_catalog/cards/small__c008.md,reports/v1/atlas_motif_catalog/cards/small__c008_card.png,"{""POAG"": 2, ""diabetes"": 1, ""healthy"": 4, ""multiple_sclerosis"": 3}","[{""cluster_id"": ""small__c008"", ""fraction"": 0.5294117647058824, ""patient_id"": ""20_lm_sm_ss"", ""warning"": ""cluster_dominated_by_one_patient""}, {""cluster_id"": ""small__c008"", ""fraction"": 0.5294117647058824, ""sample_id"": ""20_lm_sm_ss_33548e5fb625"", ""warning"": ""cluster_dominated_by_one_sample""}]",1.8527972721586041,2.2776387433211007,12.147981304748386,0.40572314682489663,3.062568445416058,0.7996379708250364,2.6495540322268134,0.9415280643213754,0.002572089981191064,729.5245098039215,130.8186274509804,0.5454545454545454,0.5454545454545454,0.8181818181818182,0.9090909090909091,0.7272727272727273,0.7272727272727273,0.8181818181818182,0.8181818181818182
small__c009,small moderate-relief high-roughness motif,"small-scale motif with moderate-relief, high-roughness, smooth-texture, elongated skeleton-like structure, and mostly low-frequency PSD content. Height distribution: near-symmetric height distribution, compact height distribution.",small,205,11,12,artifacts/pattern_atlas/clusters/small__c009/prototype_panel.png,reports/v1/atlas_motif_catalog/cards/small__c009.md,reports/v1/atlas_motif_catalog/cards/small__c009_card.png,"{""POAG"": 4, ""diabetes"": 1, ""dry_eye"": 1, ""healthy"": 2, ""multiple_sclerosis"": 3}",[],2.135231598121364,2.5247932195663454,10.399772001475823,-0.1462974047833463,2.1856355370544804,0.06996254983653383,0.1021554474883358,0.9998438381617736,1.4133849632192335e-05,1235.239024390244,37.24390243902439,0.7272727272727273,0.6363636363636364,0.5454545454545454,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.9090909090909091,0.6363636363636364
small__c011,small low-relief low-roughness motif,"small-scale motif with low-relief, low-roughness, high-contrast texture, locally branched structure, and relatively strong fine-scale PSD content. Height distribution: near-symmetric height distribution, heavy-tailed height distribution.",small,159,4,6,artifacts/pattern_atlas/clusters/small__c011/prototype_panel.png,reports/v1/atlas_motif_catalog/cards/small__c011.md,reports/v1/atlas_motif_catalog/cards/small__c011_card.png,"{""diabetes"": 1, ""dry_eye"": 1, ""healthy"": 1, ""multiple_sclerosis"": 1}","[{""cluster_id"": ""small__c011"", ""fraction"": 0.6226415094339622, ""patient_id"": ""29_pm_suche_oko"", ""warning"": ""cluster_dominated_by_one_patient""}, {""cluster_id"": ""small__c011"", ""fraction"": 0.6226415094339622, ""sample_id"": ""29_pm_suche_oko_350aab4876ad"", ""warning"": ""cluster_dominated_by_one_sample""}]",0.5174862221351959,0.6527005812656954,3.834650733186014,0.2691301806220703,4.154579532971172,0.2493732881808431,2.8351838909002796,0.9317320668333641,0.0033340738614330723,352.55345911949684,56.899371069182386,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.36363636363636365,0.8181818181818182,0.8181818181818182,0.45454545454545453,0.7272727272727273
